experiment,plant_no,total_weight_g,plant_height_cm,shoot_length_cm,root_length_cm,head_diameter_cm,stem_diameter_cm,shoot_weight_before_removing_wilted_leaves_g,shoot_weight_after_removing_wilted_leavesg,root_weight_g,no_of_leaves,system
Experiment 1,1.0,243.0,42.0,13.5,28.5,24*27,1.7,210.0,208,33.0,30.0,R1-T1
Experiment 1,2.0,241.0,54.0,10.5,43.5,27*27,2.0,200.0,189,41.0,34.0,R1-T1
Experiment 1,3.0,251.0,62.0,13.5,48.5,26*26.5,2.0,212.0,208,39.0,34.0,R1-T1
Experiment 1,4.0,200.0,55.0,13.5,41.5,26*26,2.0,185.0,183,15.0,26.0,R1-T1
Experiment 1,5.0,200.0,66.0,14.0,52.0,29*26,2.0,178.0,174,22.0,25.0,R1-T1
Experiment 1,6.0,209.0,60.0,13.0,47.0,23*23.5,1.5,176.0,171,33.0,27.0,R1-T1
Experiment 1,7.0,252.0,67.0,16.0,51.0,25*27,2.0,211.0,205,41.0,25.0,R1-T1
Experiment 1,8.0,229.0,67.0,13.5,53.5,25*27,2.0,193.0,188,36.0,23.0,R1-T1
Experiment 1,9.0,232.0,58.0,13.5,44.5,25*25,1.5,195.0,190,37.0,24.0,R1-T1
Experiment 1,10.0,195.0,48.0,12.0,36.0,23*24,1.5,172.0,165,23.0,30.0,R1-T1
Experiment 1,11.0,246.0,53.0,14.0,39.0,26*26,2.0,232.0,228,14.0,25.0,R1-T1
Experiment 1,12.0,203.0,47.0,12.0,35.0,25*23,1.4,185.0,169,18.0,30.0,R1-T1
Experiment 1,1.0,279.0,55.0,14.0,41.0,27*27,2.0,246.0,238,33.0,27.0,R1-T2
Experiment 1,2.0,219.0,55.0,10.0,45.0,25*25,2.0,182.0,180,37.0,22.0,R1-T2
Experiment 1,3.0,244.0,56.0,14.0,42.0,27*27,2.0,203.0,192,41.0,24.0,R1-T2
Experiment 1,4.0,304.0,57.0,13.0,44.0,25*26,1.5,175.0,172,129.0,22.0,R1-T2
Experiment 1,5.0,236.0,57.0,12.0,45.0,27*29,2.0,205.0,200,31.0,23.0,R1-T2
Experiment 1,6.0,236.0,58.0,12.0,46.0,26*28,2.0,211.0,205,25.0,24.0,R1-T2
Experiment 1,7.0,150.0,54.0,11.0,43.0,25*23,1.4,111.0,107,39.0,26.0,R1-T2
Experiment 1,8.0,192.0,54.0,12.0,42.0,26*26,1.5,179.0,171,13.0,22.0,R1-T2
Experiment 1,9.0,230.0,61.0,12.5,48.5,27*25,2.0,220.0,216,10.0,25.0,R1-T2
Experiment 1,10.0,269.0,63.0,13.0,50.0,27*27,2.0,260.0,255,9.0,25.0,R1-T2
Experiment 1,11.0,281.0,67.0,15.0,52.0,26*28,2.0,155.0,142,126.0,24.0,R1-T2
Experiment 1,12.0,229.0,50.0,13.0,37.0,29*27,2.0,215.0,210,14.0,23.0,R1-T2
Experiment 1,1.0,187.0,55.0,13.5,41.5,24*25,2.0,156.0,152,31.0,23.0,R1-T3
Experiment 1,2.0,265.0,63.0,13.0,50.0,27*28,2.0,234.0,225,31.0,24.0,R1-T3
Experiment 1,3.0,262.0,60.0,16.0,44.0,28*27,2.0,234.0,224,28.0,21.0,R1-T3
Experiment 1,4.0,244.0,63.0,12.0,51.0,29*30,2.0,210.0,200,34.0,22.0,R1-T3
Experiment 1,5.0,280.0,58.0,13.0,45.0,27*26,2.0,262.0,257,18.0,22.0,R1-T3
Experiment 1,6.0,228.0,54.0,11.5,42.5,29*27,1.8,190.0,184,38.0,21.0,R1-T3
Experiment 1,7.0,305.0,68.0,19.0,49.0,29*29,2.0,265.0,260,40.0,23.0,R1-T3
Experiment 1,8.0,209.0,61.0,13.5,47.5,25*26,2.0,176.0,173,33.0,21.0,R1-T3
Experiment 1,9.0,241.0,54.0,13.0,41.0,27*28,2.0,208.0,200,33.0,26.0,R1-T3
Experiment 1,10.0,207.0,57.0,11.0,46.0,26*26,2.0,183.0,173,24.0,20.0,R1-T3
Experiment 1,11.0,232.0,70.0,12.0,58.0,28*28,2.0,199.0,190,33.0,32.0,R1-T3
Experiment 1,12.0,174.0,64.0,12.0,52.0,24*24,1.5,150.0,140,24.0,18.0,R1-T3
Experiment 1,1.0,207.0,71.0,15.0,56.0,24*26,2.0,186.0,177,21.0,22.0,R2-T1
Experiment 1,2.0,264.0,59.0,16.0,43.0,27*27,2.0,165.0,155,99.0,21.0,R2-T1
Experiment 1,3.0,250.0,63.0,14.0,49.0,29*28,2.0,235.0,221,15.0,22.0,R2-T1
Experiment 1,4.0,275.0,56.0,16.0,40.0,28*28,2.0,203.0,173,72.0,23.0,R2-T1
Experiment 1,5.0,220.0,64.0,15.5,48.5,29*28,2.0,171.0,165,49.0,29.0,R2-T1
Experiment 1,6.0,250.0,57.0,14.0,43.0,29*28,2.0,222.0,216,28.0,26.0,R2-T1
Experiment 1,7.0,270.0,57.0,13.5,43.5,25*26,2.0,223.0,215,47.0,21.0,R2-T1
Experiment 1,8.0,244.0,50.0,13.0,37.0,27*26,1.5,220.0,211,24.0,24.0,R2-T1
Experiment 1,9.0,282.0,64.0,16.0,48.0,27*27.5,2.3,208.0,200,74.0,26.0,R2-T1
Experiment 1,10.0,202.0,58.0,12.0,46.0,27*26,2.0,174.0,170,28.0,22.0,R2-T1
Experiment 1,11.0,200.0,56.0,12.0,44.0,25*24,2.0,165.0,162,35.0,21.0,R2-T1
Experiment 1,12.0,207.0,70.0,11.5,58.5,26*27,1.5,139.0,126,68.0,21.0,R2-T1
Experiment 1,1.0,270.0,55.0,14.0,41.0,27*29,2.0,235.0,230,35.0,43.0,R2-T2
Experiment 1,2.0,292.0,55.0,12.0,43.0,27*27,2.0,221.0,215,71.0,40.0,R2-T2
Experiment 1,3.0,193.0,46.0,13.0,33.0,29*25,1.5,162.0,156,31.0,34.0,R2-T2
Experiment 1,4.0,245.0,53.0,13.0,40.0,28*28,2.0,204.0,185,41.0,29.0,R2-T2
Experiment 1,5.0,287.0,64.0,15.0,49.0,24*29,1.5,213.0,210,74.0,32.0,R2-T2
Experiment 1,6.0,238.0,57.0,15.0,42.0,27*24,2.0,205.0,202,33.0,34.0,R2-T2
Experiment 1,7.0,258.0,54.0,15.0,39.0,26*28,2.0,220.0,218,38.0,34.0,R2-T2
Experiment 1,8.0,234.0,60.0,14.0,46.0,27*26,2.0,202.0,200,32.0,35.0,R2-T2
Experiment 1,9.0,235.0,43.0,11.0,32.0,24*25,2.0,193.0,180,42.0,31.0,R2-T2
Experiment 1,10.0,273.0,49.0,11.0,38.0,28*27,2.0,222.0,224,51.0,46.0,R2-T2
Experiment 1,11.0,254.0,51.0,13.0,38.0,29*25,2.0,236.0,229,18.0,31.0,R2-T2
Experiment 1,12.0,235.0,59.0,13.0,46.0,24*26,2.0,180.0,174,55.0,30.0,R2-T2
Experiment 1,1.0,236.0,54.0,14.0,40.0,26*26,2.0,200.0,190,36.0,40.0,R2-T3
Experiment 1,2.0,248.0,55.0,14.0,41.0,29*25,2.0,212.0,204,36.0,41.0,R2-T3
Experiment 1,3.0,211.0,53.0,13.0,40.0,25*25,2.0,158.0,150,53.0,40.0,R2-T3
Experiment 1,4.0,274.0,56.0,15.5,40.5,28*28,2.0,225.0,212,49.0,35.0,R2-T3
Experiment 1,5.0,230.0,56.0,14.0,42.0,27*28,2.0,211.0,199,19.0,35.0,R2-T3
Experiment 1,6.0,238.0,63.0,14.0,49.0,29*26,2.0,217.0,204,21.0,37.0,R2-T3
Experiment 1,7.0,256.0,51.0,11.0,40.0,26*25,2.0,217.0,211,39.0,34.0,R2-T3
Experiment 1,8.0,253.0,23.0,10.0,13.0,28*25,2.0,213.0,210,40.0,28.0,R2-T3
Experiment 1,9.0,255.0,49.0,12.0,37.0,27*25,2.0,221.0,211,34.0,40.0,R2-T3
Experiment 1,10.0,258.0,53.0,14.0,39.0,28*28,2.0,225.0,219,33.0,34.0,R2-T3
Experiment 1,11.0,214.0,58.0,12.0,46.0,28*26,2.0,209.0,204,5.0,32.0,R2-T3
Experiment 1,12.0,276.0,57.0,13.0,44.0,28*30,2.0,246.0,234,30.0,32.0,R2-T3
Experiment 1,,,,,,,,,4,,,R2-T3
