experiment,plant_no,plant_height_cm,shoot_length_cm,root_length_cm,head_diameter_cm,stem_diameter_cm,total_weight_g,shoot_weight_g,root_weight_g,no_of_leaves
Experiment 3,1,16.5,8.0,8.5,9*5,0.3,6,4,2,12
Experiment 3,2,15.0,7.0,8.0,8*5,0.3,5,3,2,12
Experiment 3,3,16.0,8.0,8.0,10*9,0.4,6,3,3,12
Experiment 3,4,12.5,6.0,6.5,6.5*6,0.4,5,4,1,10
Experiment 3,5,13.5,6.0,7.5,6.5*6.5,0.3,4,3,1,11
Experiment 3,6,14.5,5.5,9.0,6.5*5.5,0.3,5,3,2,11
Experiment 3,7,13.0,5.5,7.5,5.5*5,0.4,5,3,2,10
Experiment 3,8,14.5,5.5,9.0,6.5*4.5,0.3,4,2,2,10
Experiment 3,9,16.0,6.0,10.0,6*7,0.3,4,3,1,12
Experiment 3,10,13.0,5.5,7.5,7*5.5,0.4,4,2,2,13
